Ramal,Id Origen,Origen,Id Destino,Destino,Pax,lon_origen,lat_origen,lon_destino,lat_destino,dist_retiro
Retiro - Tigre,2,Belgrano C,50,Victoria,69259,"-58,4495","-34,5584","-58,5408","-34,4566","7,991"
Retiro - Tigre,2,Belgrano C,53,Carupa,65516,"-58,4495","-34,5584","-58,5671","-34,4377","7,991"
Retiro - Tigre,2,Belgrano C,42,Rivadavia,63003,"-58,4495","-34,5584","-58,4683","-34,5362","7,991"
Retiro - Tigre,2,Belgrano C,45,La Lucila,48280,"-58,4495","-34,5584","-58,4887","-34,4972","7,991"
Retiro - Tigre,2,Belgrano C,41,Nuñez,41837,"-58,4495","-34,5584","-58,4624","-34,5489","7,991"
Retiro - Tigre,2,Belgrano C,40,Belgrano C,30492,"-58,4495","-34,5584","-58,4495","-34,5584","7,991"
Retiro - Tigre,2,Belgrano C,39,L. de la Torre,10495,"-58,4495","-34,5584","-58,4367","-34,5625","7,991"
Retiro - Tigre,3,Nuñez,38,Retiro (Tigre),359760,"-58,4624","-34,5489","-58,3752","-34,5913","9,602"
Retiro - Tigre,3,Nuñez,39,L. de la Torre,7790,"-58,4624","-34,5489","-58,4367","-34,5625","9,602"
Retiro - Tigre,3,Nuñez,40,Belgrano C,40081,"-58,4624","-34,5489","-58,4495","-34,5584","9,602"
Retiro - Tigre,3,Nuñez,41,Nuñez,1477,"-58,4624","-34,5489","-58,4624","-34,5489","9,602"
Retiro - Tigre,3,Nuñez,42,Rivadavia,13367,"-58,4624","-34,5489","-58,4683","-34,5362","9,602"
Retiro - Tigre,3,Nuñez,43,Vicente Lopez,10494,"-58,4624","-34,5489","-58,4728","-34,5242","9,602"
Retiro - Tigre,3,Nuñez,44,Olivos,11411,"-58,4624","-34,5489","-58,4801","-34,5082","9,602"
Retiro - Tigre,3,Nuñez,45,La Lucila,5233,"-58,4624","-34,5489","-58,4887","-34,4972","9,602"
Retiro - Tigre,3,Nuñez,46,Martinez,22549,"-58,4624","-34,5489","-58,4970","-34,4877","9,602"
Retiro - Tigre,3,Nuñez,47,Acassuso,7653,"-58,4624","-34,5489","-58,5038","-34,4797","9,602"
Retiro - Tigre,3,Nuñez,48,San Isidro,41442,"-58,4624","-34,5489","-58,5138","-34,4714","9,602"
Retiro - Tigre,3,Nuñez,49,Beccar,6852,"-58,4624","-34,5489","-58,5261","-34,4612","9,602"
Retiro - Tigre,3,Nuñez,50,Victoria,6249,"-58,4624","-34,5489","-58,5408","-34,4566","9,602"
Retiro - Tigre,3,Nuñez,51,Virreyes,4581,"-58,4624","-34,5489","-58,5506","-34,4507","9,602"
Retiro - Tigre,3,Nuñez,52,San Fernando,5347,"-58,4624","-34,5489","-58,5592","-34,4439","9,602"
Retiro - Tigre,3,Nuñez,53,Carupa,2928,"-58,4624","-34,5489","-58,5671","-34,4377","9,602"
Retiro - Tigre,3,Nuñez,54,Tigre,26511,"-58,4624","-34,5489","-58,5819","-34,4235","9,602"
Retiro - Tigre,4,Rivadavia,38,Retiro (Tigre),214369,"-58,4683","-34,5362","-58,3752","-34,5913","11,124"
